#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
200,0.4000000000000003,-12860.07693031814,5505.712484571724,233.4514389943874,0
400,0.8000000000000006,-12042.93296962989,5945.919898540392,252.11697130014443,0.754
600,1.2000000000000008,-11692.862693656722,6175.217079417379,261.8395561577976,0.754
800,1.6000000000000012,-11726.835887840054,6624.474214936363,280.8888118280311,0.751
1000,2.0000000000000013,-11725.670677958973,6744.030488660609,285.9581982552998,0.748
1200,2.3999999999999573,-11383.375347338657,6848.522235917371,290.388823506525,0.727
