2026-07-18T16:11:00+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/2ON9.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/2ON9.cif sha256=5559fdb062f8...
2026-07-18T16:11:01+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/2ON9-assembly1.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/2ON9-assembly1.cif sha256=89ece1329483...
2026-07-18T16:11:01+0000 | INFO    | __main__ | zipper reference VQIVYK (2ON9): Structure of an amyloid forming peptide VQIVYK from the repeat region of Tau
2026-07-18T16:11:01+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/5V5C.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/5V5C.cif sha256=1a0a5f1bcce2...
2026-07-18T16:11:01+0000 | INFO    | sentinel.io.http_client | downloaded https://files.rcsb.org/download/5V5C-assembly1.cif -> /workspaces/Research-26-27/project-sentinel-year1/data/raw/structures/5V5C-assembly1.cif sha256=55221c7b24bd...
2026-07-18T16:11:01+0000 | INFO    | __main__ | zipper reference VQIINK (5V5C): VQIINK, Structure of the amyloid-spine from microtubule associated protein tau Repeat 2
2026-07-18T16:11:02+0000 | INFO    | __main__ | RCSB search 'newer_tau_filament_structures': 25 hits
2026-07-18T16:11:02+0000 | INFO    | __main__ | RCSB search 'vqivyk_zipper_structures': 5 hits
2026-07-18T16:11:02+0000 | INFO    | __main__ | RCSB search 'vqiink_zipper_structures': 3 hits
2026-07-18T16:11:02+0000 | INFO    | __main__ | loaded 4 curated inhibitor/control entries; target segments: {'full-length tau (broad; not a single hexapeptide)', 'PHF6 (VQIVYK)', 'PHF6* (VQIINK)', 'full-length tau / broad amyloid'}
2026-07-18T16:11:10+0000 | INFO    | __main__ | 5O3L: 2 protofilament(s) detected [5, 5], using 3 layers for the stack model.
2026-07-18T16:11:16+0000 | INFO    | __main__ | 5O3T: 2 protofilament(s) detected [5, 5], using 3 layers for the stack model.
2026-07-18T16:11:21+0000 | INFO    | __main__ | 6NWP: 2 protofilament(s) detected [3, 3], using 3 layers for the stack model.
2026-07-18T16:11:26+0000 | INFO    | __main__ | 6NWQ: 2 protofilament(s) detected [3, 3], using 3 layers for the stack model.
2026-07-18T16:11:31+0000 | INFO    | __main__ | 6GX5: 1 protofilament(s) detected [3], using 3 layers for the stack model.
2026-07-18T16:11:34+0000 | INFO    | __main__ | 6TJO: 1 protofilament(s) detected [3], using 3 layers for the stack model.
2026-07-18T16:11:42+0000 | INFO    | __main__ | 7P65: 1 protofilament(s) detected [5], using 3 layers for the stack model.
2026-07-18T16:11:48+0000 | INFO    | __main__ | 7P6D: 1 protofilament(s) detected [5], using 3 layers for the stack model.
2026-07-18T16:11:53+0000 | INFO    | __main__ | 7P66: 1 protofilament(s) detected [5], using 3 layers for the stack model.
2026-07-18T16:11:58+0000 | INFO    | __main__ | 7P6A: 1 protofilament(s) detected [5], using 3 layers for the stack model.
2026-07-18T16:12:02+0000 | INFO    | __main__ | analyzing strain AD_PHF (5O3L)...
2026-07-18T16:12:06+0000 | INFO    | __main__ | analyzing strain AD_SF (5O3T)...
2026-07-18T16:12:10+0000 | INFO    | __main__ | analyzing strain CTE_I (6NWP)...
2026-07-18T16:12:13+0000 | INFO    | __main__ | analyzing strain CTE_II (6NWQ)...
2026-07-18T16:12:17+0000 | INFO    | __main__ | analyzing strain PiD (6GX5)...
2026-07-18T16:12:20+0000 | INFO    | __main__ | analyzing strain CBD (6TJO)...
2026-07-18T16:12:24+0000 | INFO    | __main__ | analyzing strain PSP (7P65)...
2026-07-18T16:12:28+0000 | INFO    | __main__ | analyzing strain AGD (7P6D)...
2026-07-18T16:12:31+0000 | INFO    | __main__ | analyzing strain GGT (7P66)...
2026-07-18T16:12:35+0000 | INFO    | __main__ | analyzing strain GPT (7P6A)...
2026-07-18T16:12:39+0000 | INFO    | __main__ | AD strain fingerprint: top hotspot = GLY365 (differential exposure 0.3354)
2026-07-18T16:12:39+0000 | INFO    | __main__ | zipper crystal ratio VQIINK/VQIVYK buried SASA = 2.031
2026-07-18T16:12:42+0000 | INFO    | __main__ | PHF6 rank=1, PHF6* rank=3 (top-15 required) out of 436 windows.
2026-07-18T16:12:42+0000 | INFO    | __main__ | top-5 predicted nucleating windows: VQIVYK@306, SVQIVY@305, VQIINK@275, IVYKPV@308, VAVVRT@226
2026-07-18T16:12:45+0000 | INFO    | __main__ | running hexapeptide MD for PHF6...
2026-07-18T16:12:48+0000 | WARNING | sentinel.md.simulate | PHF6: target 2.0 ns would take ~4626s at 216.2 steps/s on this CPU; capping to a 420s budget (90800 steps) and logging the ACTUAL ns simulated, not the target.
2026-07-18T16:19:24+0000 | INFO    | sentinel.md.simulate | PHF6: simulated 0.18160 ns (90800 steps @ 2.0 fs) in 395.6s wall-clock (216.2 steps/s measured on this CPU).
2026-07-18T16:19:24+0000 | INFO    | __main__ | running hexapeptide MD for PHF6_star...
2026-07-18T16:19:26+0000 | WARNING | sentinel.md.simulate | PHF6_star: target 2.0 ns would take ~4131s at 242.1 steps/s on this CPU; capping to a 420s budget (101675 steps) and logging the ACTUAL ns simulated, not the target.
